Study years,species,Region,Island,Clutch Completion,Date egg,culmen length,culmen depth,flipper length,body mass,sex,Delta 15 N,Delta 13,comments,year
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,39.1,18.7,181.0,3750.0,Male,8.99311370797132,-25.96366841536627,Not enough blood for isotopes.,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,39.5,17.4,186.0,3800.0,Female,8.94956,-24.69454,,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,40.3,18.0,195.0,3250.0,Female,8.36821,-25.33302,,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,39.89844868277266,18.690865521504012,212.56819852325052,4989.252844290249,,8.902246370868095,-25.890453557798253,Adult not sampled.,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,36.7,19.3,193.0,3450.0,Female,8.76651,-25.32426,,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,39.3,20.6,190.0,3650.0,Male,8.66496,-25.29805,,2007
2007-08,Adelie,Anvers,Torgersen,No,Nov-2007,38.9,17.8,181.0,3625.0,Female,9.18718,-25.21799,Nest never observed with full clutch.,2007
2007-08,Adelie,Anvers,Torgersen,No,Nov-2007,39.2,19.6,195.0,4675.0,Male,9.4606,-24.89958,Nest never observed with full clutch.,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,34.1,18.1,193.0,3475.0,,8.978345937020524,-26.391552635862283,No blood sample obtained.,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,42.0,20.2,190.0,4250.0,,9.13362,-25.09368,No blood sample obtained for sexing.,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,37.8,17.1,186.0,3300.0,,8.63243,-25.21315,No blood sample obtained for sexing.,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,37.8,17.3,180.0,3700.0,,8.682496762300646,-26.219641041474194,No blood sample obtained.,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,41.1,17.6,182.0,3200.0,Female,9.257669027711454,-25.264737853685308,Not enough blood for isotopes.,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,38.6,21.2,191.0,3800.0,Male,8.42985927738452,-26.44134470967216,Not enough blood for isotopes.,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,34.6,21.1,198.0,4400.0,Male,8.55583,-25.22588,,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,36.6,17.8,185.0,3700.0,Female,8.463042531119351,-25.40021514495997,Not enough blood for isotopes.,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,38.7,19.0,195.0,3450.0,Female,9.18528,-25.06691,,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,42.5,20.7,197.0,4500.0,Male,8.67538,-25.13993,,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,34.4,18.4,184.0,3325.0,Female,8.47827,-25.23319,,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,46.0,21.5,194.0,4200.0,Male,9.11616,-24.77227,,2007
2007-08,Adelie,Anvers,Biscoe,Yes,Nov-2007,37.8,18.3,174.0,3400.0,Female,8.73762,-25.09383,,2007
2007-08,Adelie,Anvers,Biscoe,Yes,Nov-2007,37.7,18.7,180.0,3600.0,Male,8.66271,-25.0639,,2007
2007-08,Adelie,Anvers,Biscoe,Yes,Nov-2007,35.9,19.2,189.0,3800.0,Female,9.22286,-25.03474,,2007
2007-08,Adelie,Anvers,Biscoe,Yes,Nov-2007,38.2,18.1,185.0,3950.0,Male,8.43423,-25.22664,,2007
2007-08,Adelie,Anvers,Biscoe,Yes,Nov-2007,38.8,17.2,180.0,3800.0,Male,9.63954,-25.29856,,2007
2007-08,Adelie,Anvers,Biscoe,Yes,Nov-2007,35.3,18.9,187.0,3800.0,Female,9.21292,-24.3613,,2007
2007-08,Adelie,Anvers,Biscoe,Yes,Nov-2007,40.6,18.6,183.0,3550.0,Male,8.93997,-25.36288,,2007
2007-08,Adelie,Anvers,Biscoe,Yes,Nov-2007,40.5,17.9,187.0,3200.0,Female,8.08138,-25.49448,,2007
2007-08,Adelie,Anvers,Biscoe,No,Nov-2007,37.9,18.6,172.0,3150.0,Female,8.38404,-25.19837,Nest never observed with full clutch.,2007
2007-08,Adelie,Anvers,Biscoe,No,Nov-2007,40.5,18.9,180.0,3950.0,Male,8.90027,-25.11609,Nest never observed with full clutch.,2007
2007-08,Adelie,Anvers,Dream,Yes,Nov-2007,39.5,16.7,178.0,3250.0,Female,9.69756,-25.11223,,2007
2007-08,Adelie,Anvers,Dream,Yes,Nov-2007,37.2,18.1,178.0,3900.0,Male,9.72764,-25.0102,,2007
2007-08,Adelie,Anvers,Dream,Yes,Nov-2007,39.5,17.8,188.0,3300.0,Female,9.66523,-25.0602,,2007
2007-08,Adelie,Anvers,Dream,Yes,Nov-2007,40.9,18.9,184.0,3900.0,Male,8.79665,-25.14591,,2007
2007-08,Adelie,Anvers,Dream,Yes,Nov-2007,36.4,17.0,195.0,3325.0,Female,9.17847,-25.23061,,2007
2007-08,Adelie,Anvers,Dream,Yes,Nov-2007,39.2,21.1,196.0,4150.0,Male,9.15308,-25.03469,,2007
2007-08,Adelie,Anvers,Dream,Yes,Nov-2007,38.8,20.0,190.0,3950.0,Male,9.18985,-25.12255,,2007
2007-08,Adelie,Anvers,Dream,Yes,Nov-2007,42.2,18.5,180.0,3550.0,Female,8.04787,-25.49523,,2007
2007-08,Adelie,Anvers,Dream,No,Nov-2007,37.6,19.3,181.0,3300.0,Female,9.41131,-25.04169,Nest never observed with full clutch.,2007
2007-08,Adelie,Anvers,Dream,No,Nov-2007,39.8,19.1,184.0,4650.0,Male,8.774393300596962,-25.723883855569117,Nest never observed with full clutch. Not enough blood for isotopes.,2007
2007-08,Adelie,Anvers,Dream,Yes,Nov-2007,36.5,18.0,182.0,3150.0,Female,9.68933,-24.4228,,2007
2007-08,Adelie,Anvers,Dream,Yes,Nov-2007,40.8,18.4,195.0,3900.0,Male,9.27102655149424,-25.158468913236593,Not enough blood for isotopes.,2007
2007-08,Adelie,Anvers,Dream,Yes,Nov-2007,36.0,18.5,186.0,3100.0,Female,9.50772,-25.03492,,2007
2007-08,Adelie,Anvers,Dream,Yes,Nov-2007,44.1,19.7,196.0,4400.0,Male,9.2372,-24.52698,,2007
2007-08,Adelie,Anvers,Dream,Yes,Nov-2007,37.0,16.9,185.0,3000.0,Female,9.36392,-25.01745,,2007
2007-08,Adelie,Anvers,Dream,Yes,Nov-2007,39.6,18.8,190.0,4600.0,Male,9.49106,-24.10255,,2007
2007-08,Adelie,Anvers,Dream,Yes,Nov-2007,41.1,19.0,182.0,3425.0,Male,8.85881207971286,-26.210833212877834,Not enough blood for isotopes.,2007
2007-08,Adelie,Anvers,Dream,Yes,Nov-2007,37.5,18.9,179.0,2975.0,,8.38623431538609,-25.85600469874188,Sexing primers did not amplify. Not enough blood for isotopes.,2007
2007-08,Adelie,Anvers,Dream,Yes,Nov-2007,36.0,17.9,190.0,3450.0,Female,9.51784,-25.07683,,2007
2007-08,Adelie,Anvers,Dream,Yes,Nov-2007,42.3,21.2,191.0,4150.0,Male,8.87988,-25.18543,,2007
2008-09,Adelie,Anvers,Biscoe,Yes,Nov-2008,39.6,17.7,186.0,3500.0,Female,8.46616,-26.12989,,2008
2008-09,Adelie,Anvers,Biscoe,Yes,Nov-2008,40.1,18.9,188.0,4300.0,Male,8.51362,-26.55602,,2008
2008-09,Adelie,Anvers,Biscoe,Yes,Nov-2008,35.0,17.9,190.0,3450.0,Female,8.19539,-26.17213,,2008
2008-09,Adelie,Anvers,Biscoe,Yes,Nov-2008,42.0,19.5,200.0,4050.0,Male,8.48095,-26.3146,,2008
2008-09,Adelie,Anvers,Biscoe,Yes,Nov-2008,34.5,18.1,187.0,2900.0,Female,8.41837,-26.54718,,2008
2008-09,Adelie,Anvers,Biscoe,Yes,Nov-2008,41.4,18.6,191.0,3700.0,Male,8.35396,-26.27853,,2008
2008-09,Adelie,Anvers,Biscoe,Yes,Nov-2008,39.0,17.5,186.0,3550.0,Female,8.57199,-26.07188,,2008
2008-09,Adelie,Anvers,Biscoe,Yes,Nov-2008,40.6,18.8,193.0,3800.0,Male,8.56674,-25.98843,,2008
2008-09,Adelie,Anvers,Biscoe,Yes,Nov-2008,36.5,16.6,181.0,2850.0,Female,9.07878,-25.88156,,2008
2008-09,Adelie,Anvers,Biscoe,Yes,Nov-2008,37.6,19.1,194.0,3750.0,Male,9.108,-25.89677,,2008
2008-09,Adelie,Anvers,Biscoe,Yes,Nov-2008,35.7,16.9,185.0,3150.0,Female,8.96472,-26.40943,,2008
2008-09,Adelie,Anvers,Biscoe,Yes,Nov-2008,41.3,21.1,195.0,4400.0,Male,8.74802,-26.37809,,2008
2008-09,Adelie,Anvers,Biscoe,Yes,Nov-2008,37.6,17.0,185.0,3600.0,Female,8.58063,-26.21569,,2008
2008-09,Adelie,Anvers,Biscoe,Yes,Nov-2008,41.1,18.2,192.0,4050.0,Male,8.62264,-26.60023,,2008
2008-09,Adelie,Anvers,Biscoe,Yes,Nov-2008,36.4,17.1,184.0,2850.0,Female,8.62623,-26.1165,,2008
2008-09,Adelie,Anvers,Biscoe,Yes,Nov-2008,41.6,18.0,192.0,3950.0,Male,8.85562,-26.09294,,2008
2008-09,Adelie,Anvers,Biscoe,Yes,Nov-2008,35.5,16.2,195.0,3350.0,Female,8.56192,-25.95541,,2008
2008-09,Adelie,Anvers,Biscoe,Yes,Nov-2008,41.1,19.1,188.0,4100.0,Male,8.71078,-25.81012,,2008
2008-09,Adelie,Anvers,Torgersen,No,Nov-2008,35.9,16.6,190.0,3050.0,Female,8.47781,-26.07821,Nest never observed with full clutch.,2008
2008-09,Adelie,Anvers,Torgersen,No,Nov-2008,41.8,19.4,198.0,4450.0,Male,8.86853,-26.06209,Nest never observed with full clutch.,2008
2008-09,Adelie,Anvers,Torgersen,Yes,Nov-2008,33.5,19.0,190.0,3600.0,Female,7.88863,-26.63085,,2008
2008-09,Adelie,Anvers,Torgersen,Yes,Nov-2008,39.7,18.4,190.0,3900.0,Male,9.29808,-25.23453,,2008
2008-09,Adelie,Anvers,Torgersen,Yes,Nov-2008,39.6,17.2,196.0,3550.0,Female,8.33524,-26.55351,,2008
2008-09,Adelie,Anvers,Torgersen,Yes,Nov-2008,45.8,18.9,197.0,4150.0,Male,8.18658,-26.45978,,2008
2008-09,Adelie,Anvers,Torgersen,Yes,Nov-2008,35.5,17.5,190.0,3700.0,Female,8.70642,-26.15003,,2008
2008-09,Adelie,Anvers,Torgersen,Yes,Nov-2008,42.8,18.5,195.0,4250.0,Male,8.2993,-26.38986,,2008
2008-09,Adelie,Anvers,Torgersen,Yes,Nov-2008,40.9,16.8,191.0,3700.0,Female,8.47257,-26.02002,,2008
2008-09,Adelie,Anvers,Torgersen,Yes,Nov-2008,37.2,19.4,184.0,3900.0,Male,8.3554,-26.44787,,2008
2008-09,Adelie,Anvers,Torgersen,Yes,Nov-2008,36.2,16.1,187.0,3550.0,Female,7.82381,-26.51382,,2008
2008-09,Adelie,Anvers,Torgersen,Yes,Nov-2008,42.1,19.1,195.0,4000.0,Male,9.05736,-25.81513,,2008
2008-09,Adelie,Anvers,Torgersen,Yes,Nov-2008,34.6,17.2,189.0,3200.0,Female,7.69778,-26.5387,,2008
2008-09,Adelie,Anvers,Torgersen,Yes,Nov-2008,42.9,17.6,196.0,4700.0,Male,8.63259,-26.23027,,2008
2008-09,Adelie,Anvers,Torgersen,Yes,Nov-2008,36.7,18.8,187.0,3800.0,Female,7.88494,-26.24837,,2008
2008-09,Adelie,Anvers,Torgersen,Yes,Nov-2008,35.1,19.4,193.0,4200.0,Male,8.90002,-26.46254,,2008
2008-09,Adelie,Anvers,Dream,Yes,Nov-2008,37.3,17.8,191.0,3350.0,Female,8.32718,-26.38396,,2008
2008-09,Adelie,Anvers,Dream,Yes,Nov-2008,41.3,20.3,194.0,3550.0,Male,9.14863,-26.09635,,2008
2008-09,Adelie,Anvers,Dream,Yes,Nov-2008,36.3,19.5,190.0,3800.0,Male,8.57087,-26.22227,,2008
2008-09,Adelie,Anvers,Dream,Yes,Nov-2008,36.9,18.6,189.0,3500.0,Female,8.59147,-26.08165,,2008
2008-09,Adelie,Anvers,Dream,Yes,Nov-2008,38.3,19.2,189.0,3950.0,Male,9.07826,-26.12417,,2008
2008-09,Adelie,Anvers,Dream,Yes,Nov-2008,38.9,18.8,190.0,3600.0,Female,8.36936,-26.11199,,2008
2008-09,Adelie,Anvers,Dream,Yes,Nov-2008,35.7,18.0,202.0,3550.0,Female,8.46531,-26.05621,,2008
2008-09,Adelie,Anvers,Dream,Yes,Nov-2008,41.1,18.1,205.0,4300.0,Male,8.77018,-25.83352,,2008
2008-09,Adelie,Anvers,Dream,Yes,Nov-2008,34.0,17.1,185.0,3400.0,Female,8.01485,-26.69543,,2008
2008-09,Adelie,Anvers,Dream,Yes,Nov-2008,39.6,18.1,186.0,4450.0,Male,8.49915,-26.42406,,2008
2008-09,Adelie,Anvers,Dream,Yes,Nov-2008,36.2,17.3,187.0,3300.0,Female,8.90723,-26.30037,,2008
2008-09,Adelie,Anvers,Dream,Yes,Nov-2008,40.8,18.9,208.0,4300.0,Male,8.48204,-26.57941,,2008
2008-09,Adelie,Anvers,Dream,Yes,Nov-2008,38.1,18.6,190.0,3700.0,Female,8.10277,-26.50086,,2008
2008-09,Adelie,Anvers,Dream,Yes,Nov-2008,40.3,18.5,196.0,4350.0,Male,8.39459,-26.01152,,2008
2008-09,Adelie,Anvers,Dream,Yes,Nov-2008,33.1,16.1,178.0,2900.0,Female,9.04218,-26.15775,,2008
2008-09,Adelie,Anvers,Dream,Yes,Nov-2008,43.2,18.5,192.0,4100.0,Male,8.97025,-26.03679,,2008
2009-10,Adelie,Anvers,Biscoe,Yes,Nov-2009,35.0,17.9,192.0,3725.0,Female,8.84451,-26.28055,,2009
2009-10,Adelie,Anvers,Biscoe,Yes,Nov-2009,41.0,20.0,203.0,4725.0,Male,9.01079,-26.38085,,2009
2009-10,Adelie,Anvers,Biscoe,Yes,Nov-2009,37.7,16.0,183.0,3075.0,Female,9.2151,-26.2253,,2009
2009-10,Adelie,Anvers,Biscoe,Yes,Nov-2009,37.8,20.0,190.0,4250.0,Male,9.51929,-25.69199,,2009
2009-10,Adelie,Anvers,Biscoe,Yes,Nov-2009,37.9,18.6,193.0,2925.0,Female,9.02642,-25.86482,,2009
2009-10,Adelie,Anvers,Biscoe,Yes,Nov-2009,39.7,18.9,184.0,3550.0,Male,8.85699,-25.80208,,2009
2009-10,Adelie,Anvers,Biscoe,Yes,Nov-2009,38.6,17.2,199.0,3750.0,Female,8.77322,-26.48973,,2009
2009-10,Adelie,Anvers,Biscoe,Yes,Nov-2009,38.2,20.0,190.0,3900.0,Male,9.59245,-25.70711,,2009
2009-10,Adelie,Anvers,Biscoe,Yes,Nov-2009,38.1,17.0,181.0,3175.0,Female,9.79532,-25.27385,,2009
2009-10,Adelie,Anvers,Biscoe,Yes,Nov-2009,43.2,19.0,197.0,4775.0,Male,9.31735,-25.45171,,2009
2009-10,Adelie,Anvers,Biscoe,Yes,Nov-2009,38.1,16.5,198.0,3825.0,Female,8.43951,-26.57563,,2009
2009-10,Adelie,Anvers,Biscoe,Yes,Nov-2009,45.6,20.3,191.0,4600.0,Male,8.65466,-26.32909,,2009
2009-10,Adelie,Anvers,Biscoe,Yes,Nov-2009,39.7,17.7,193.0,3200.0,Female,9.02657,-26.06203,,2009
2009-10,Adelie,Anvers,Biscoe,Yes,Nov-2009,42.2,19.5,197.0,4275.0,Male,8.80186,-26.41218,,2009
2009-10,Adelie,Anvers,Biscoe,Yes,Nov-2009,39.6,20.7,191.0,3900.0,Female,8.80967,-26.78958,,2009
2009-10,Adelie,Anvers,Biscoe,Yes,Nov-2009,42.7,18.3,196.0,4075.0,Male,8.91434,-26.42018,,2009
2009-10,Adelie,Anvers,Torgersen,Yes,Nov-2009,38.6,17.0,188.0,2900.0,Female,9.18021,-25.77264,,2009
2009-10,Adelie,Anvers,Torgersen,Yes,Nov-2009,37.3,20.5,199.0,3775.0,Male,9.49645,-26.36678,,2009
2009-10,Adelie,Anvers,Torgersen,Yes,Nov-2009,35.7,17.0,189.0,3350.0,Female,8.96436,-23.90309,,2009
2009-10,Adelie,Anvers,Torgersen,Yes,Nov-2009,41.1,18.6,189.0,3325.0,Male,9.32277,-26.09989,,2009
2009-10,Adelie,Anvers,Torgersen,No,Nov-2009,36.2,17.2,187.0,3150.0,Female,9.04296,-26.19444,Nest never observed with full clutch.,2009
2009-10,Adelie,Anvers,Torgersen,No,Nov-2009,37.7,19.8,198.0,3500.0,Male,9.11066,-26.42563,Nest never observed with full clutch.,2009
2009-10,Adelie,Anvers,Torgersen,Yes,Nov-2009,40.2,17.0,176.0,3450.0,Female,9.30722,-25.61039,,2009
2009-10,Adelie,Anvers,Torgersen,Yes,Nov-2009,41.4,18.5,202.0,3875.0,Male,9.59462,-25.42621,,2009
2009-10,Adelie,Anvers,Torgersen,Yes,Nov-2009,35.2,15.9,186.0,3050.0,Female,8.81668,-25.95399,,2009
2009-10,Adelie,Anvers,Torgersen,Yes,Nov-2009,40.6,19.0,199.0,4000.0,Male,9.22537,-25.60826,,2009
2009-10,Adelie,Anvers,Torgersen,Yes,Nov-2009,38.8,17.6,191.0,3275.0,Female,8.88098,-25.89741,,2009
2009-10,Adelie,Anvers,Torgersen,Yes,Nov-2009,41.5,18.3,195.0,4300.0,Male,8.52566,-26.0245,,2009
2009-10,Adelie,Anvers,Torgersen,Yes,Nov-2009,39.0,17.1,191.0,3050.0,Female,9.19031,-25.73722,,2009
2009-10,Adelie,Anvers,Torgersen,Yes,Nov-2009,44.1,18.0,210.0,4000.0,Male,9.10702,-26.01363,,2009
2009-10,Adelie,Anvers,Torgersen,No,Nov-2009,38.5,17.9,190.0,3325.0,Female,8.9846,-25.57956,Nest never observed with full clutch.,2009
2009-10,Adelie,Anvers,Torgersen,No,Nov-2009,43.1,19.2,197.0,3500.0,Male,8.86495,-26.1396,Nest never observed with full clutch.,2009
2009-10,Adelie,Anvers,Dream,Yes,Nov-2009,36.8,18.5,193.0,3500.0,Female,8.98705,-25.57647,,2009
2009-10,Adelie,Anvers,Dream,Yes,Nov-2009,37.5,18.5,199.0,4475.0,Male,8.56708,-26.49288,,2009
2009-10,Adelie,Anvers,Dream,Yes,Nov-2009,38.1,17.6,187.0,3425.0,Female,8.717,-25.77951,,2009
2009-10,Adelie,Anvers,Dream,Yes,Nov-2009,41.1,17.5,190.0,3900.0,Male,8.94365,-26.06943,,2009
2009-10,Adelie,Anvers,Dream,Yes,Nov-2009,35.6,17.5,191.0,3175.0,Female,8.75984,-25.97696,,2009
2009-10,Adelie,Anvers,Dream,Yes,Nov-2009,40.2,20.1,200.0,3975.0,Male,8.95998,-26.32601,,2009
2009-10,Adelie,Anvers,Dream,No,Nov-2009,37.0,16.5,185.0,3400.0,Female,8.61651,-26.07021,Nest never observed with full clutch.,2009
2009-10,Adelie,Anvers,Dream,No,Nov-2009,39.7,17.9,193.0,4250.0,Male,9.25769,-25.88798,Nest never observed with full clutch.,2009
2009-10,Adelie,Anvers,Dream,Yes,Nov-2009,40.2,17.1,193.0,3400.0,Female,9.2881,-25.54976,,2009
2009-10,Adelie,Anvers,Dream,Yes,Nov-2009,40.6,17.2,187.0,3475.0,Male,9.23408,-26.01549,,2009
2009-10,Adelie,Anvers,Dream,Yes,Nov-2009,32.1,15.5,188.0,3050.0,Female,8.79787,-26.61075,,2009
2009-10,Adelie,Anvers,Dream,Yes,Nov-2009,40.7,17.0,190.0,3725.0,Male,9.05674,-25.79529,,2009
2009-10,Adelie,Anvers,Dream,Yes,Nov-2009,37.3,16.8,192.0,3000.0,Female,9.06829,-25.85203,,2009
2009-10,Adelie,Anvers,Dream,Yes,Nov-2009,39.0,18.7,185.0,3650.0,Male,9.22033,-26.03442,,2009
2009-10,Adelie,Anvers,Dream,Yes,Nov-2009,39.2,18.6,190.0,4250.0,Male,9.11006,-25.79549,,2009
2009-10,Adelie,Anvers,Dream,Yes,Nov-2009,36.6,18.4,184.0,3475.0,Female,8.68744,-25.8306,,2009
2009-10,Adelie,Anvers,Dream,Yes,Nov-2009,36.0,17.8,195.0,3450.0,Female,8.94332,-25.79189,,2009
2009-10,Adelie,Anvers,Dream,Yes,Nov-2009,37.8,18.1,193.0,3750.0,Male,8.97533,-26.03495,,2009
2009-10,Adelie,Anvers,Dream,Yes,Nov-2009,36.0,17.1,187.0,3700.0,Female,8.93465,-26.07081,,2009
2009-10,Adelie,Anvers,Dream,Yes,Nov-2009,41.5,18.5,201.0,4000.0,Male,8.8964,-26.06967,,2009
2007-08,Chinstrap,Anvers,Dream,No,Nov-2007,46.5,17.9,192.0,3500.0,Female,9.03935,-24.30229,,2007
2007-08,Chinstrap,Anvers,Dream,No,Nov-2007,50.0,19.5,196.0,3900.0,Male,8.92069,-24.23592,,2007
2007-08,Chinstrap,Anvers,Dream,Yes,Nov-2007,51.3,19.2,193.0,3650.0,Male,9.29078,-24.7557,,2007
2007-08,Chinstrap,Anvers,Dream,Yes,Nov-2007,45.4,18.7,188.0,3525.0,Female,8.64701,-24.62717,,2007
2007-08,Chinstrap,Anvers,Dream,Yes,Nov-2007,52.7,19.8,197.0,3725.0,Male,9.00642,-24.61867,,2007
2007-08,Chinstrap,Anvers,Dream,Yes,Nov-2007,45.2,17.8,198.0,3950.0,Female,8.88942,-24.49433,,2007
2007-08,Chinstrap,Anvers,Dream,Yes,Nov-2007,46.1,18.2,178.0,3250.0,Female,8.85664,-24.55644,,2007
2007-08,Chinstrap,Anvers,Dream,Yes,Nov-2007,51.3,18.2,197.0,3750.0,Male,8.63701,-24.84059,,2007
2007-08,Chinstrap,Anvers,Dream,Yes,Nov-2007,46.0,18.9,195.0,4150.0,Female,8.47173,-24.29229,,2007
2007-08,Chinstrap,Anvers,Dream,Yes,Nov-2007,51.3,19.9,198.0,3700.0,Male,8.79581,-24.36088,,2007
2007-08,Chinstrap,Anvers,Dream,Yes,Nov-2007,46.6,17.8,193.0,3800.0,Female,8.95063,-24.59897,,2007
2007-08,Chinstrap,Anvers,Dream,Yes,Nov-2007,51.7,20.3,194.0,3775.0,Male,8.68747,-24.38751,,2007
2007-08,Chinstrap,Anvers,Dream,Yes,Nov-2007,47.0,17.3,185.0,3700.0,Female,8.72037,-24.80526,,2007
